fertilizer_id,fertilizer_name,brand,composition,nutrient_content,type,price_per_kg,availability,suitable_crops,application_method,dosage_per_hectare,season_preference
1,Urea,IFFCO,46-0-0,Nitrogen 46%,Nitrogenous,6.5,High,"Rice,Wheat,Corn,Sugarcane",Broadcasting,130,All Seasons
2,DAP,IFFCO,18-46-0,"Nitrogen 18%, Phosphorus 46%",Phosphatic,27.0,High,"Wheat,Rice,Cotton,Soybean",Drilling,100,Rabi/Kharif
3,MOP,IPL,0-0-60,Potassium 60%,Potassic,17.5,Medium,"Potato,Sugarcane,Cotton,Banana",Broadcasting,80,All Seasons
4,NPK 10-26-26,Coromandel,10-26-26,"N 10%, P 26%, K 26%",Complex,24.0,High,"Rice,Wheat,Cotton,Maize",Drilling,200,All Seasons
5,SSP,GSFC,0-16-0,Phosphorus 16%,Phosphatic,8.5,High,"Groundnut,Sunflower,Mustard",Broadcasting,125,Rabi
6,Ammonium Sulphate,FACT,21-0-0,"Nitrogen 21%, Sulphur 24%",Nitrogenous,12.0,Medium,"Rice,Tea,Coffee,Sugarcane",Broadcasting,150,Kharif
7,Calcium Ammonium Nitrate,Yara,26-0-0,Nitrogen 26%,Nitrogenous,18.5,Medium,"Wheat,Barley,Vegetables",Top Dressing,120,Rabi
8,Potassium Sulphate,SQM,0-0-50,"Potassium 50%, Sulphur 17%",Potassic,45.0,Low,"Tobacco,Potato,Fruits",Broadcasting,60,All Seasons
9,NPK 20-20-0,Chambal,20-20-0,"Nitrogen 20%, Phosphorus 20%",Complex,22.0,High,"Maize,Sorghum,Bajra",Drilling,150,Kharif
10,NPK 12-32-16,RCF,12-32-16,"N 12%, P 32%, K 16%",Complex,26.5,Medium,"Cotton,Soybean,Chili",Drilling,175,Kharif
11,NPK 19-19-19,Nagarjuna,19-19-19,"N 19%, P 19%, K 19%",Complex,28.0,High,"Vegetables,Fruits,Flowers",Fertigation,100,All Seasons
12,NPK 15-15-15,Krishak Bharati,15-15-15,"N 15%, P 15%, K 15%",Complex,25.0,High,"General Purpose",Broadcasting,200,All Seasons
13,NPK 14-35-14,EID Parry,14-35-14,"N 14%, P 35%, K 14%",Complex,30.0,Medium,"Pulses,Oilseeds",Drilling,125,Rabi
